g_g810	x	y	z_z811c1	z_z811c2	z_z811c3	z_z811c4
2	-468395.90625	2731495	2	227.7263	1166.333	10.52696
2	-469395.90625	2730495	2	150.6274	1169.217	14.70798
2	-468395.90625	2730495	2	185.3322	1166.818	15.77352
2	-467395.90625	2730495	2			
3	-497395.90625	2729495	3	211.866	1238.208	9.278593
1	-489395.90625	2729495	1	45	1227.646	 0.0
1	-471395.90625	2729495	1	198.5563	1174.917	20.46304
2	-470395.90625	2729495	2	249.4762	1172.235	14.58872
2	-469395.90625	2729495	2	158.3643	1169.687	13.53411
2	-468395.90625	2729495	2	89.1186	1167.287	13.70028
2	-498395.90625	2728495	2	135	1239.213	0.1012855
2	-497395.90625	2728495	2	262.4271	1238.887	12.30643
2	-496395.90625	2728495	2	240.6242	1238.344	12.22148
2	-495395.90625	2728495	2	263.2902	1237.578	4.891808
3	-494395.90625	2728495	3	-1	1236.587	 0.0
2	-493395.90625	2728495	2	47.64254	1235.373	6.561733
2	-492395.90625	2728495	2	83.73651	1233.938	11.6528
3	-491395.90625	2728495	3	74.48163	1232.288	33.74712
3	-490395.90625	2728495	3	82.01669	1230.431	22.49016
1	-489395.90625	2728495	1	116.565	1228.375	0.3202898
1	-488395.90625	2728495	1	-1	1226.133	 0.0
3	-472395.90625	2728495	3	211.0922	1178.207	10.82549
2	-471395.90625	2728495	2	220.7636	1175.391	2.740112
2	-470395.90625	2728495	2	157.1664	1172.7	8.789272
2	-469395.90625	2728495	2	240.9454	1170.145	9.497848
2	-468395.90625	2728495	2	248.245	1167.74	15.99586
2	-499395.90625	2727495	2	-1	1240.061	 0.0
2	-498395.90625	2727495	2	-1	1239.962	 0.0
2	-497395.90625	2727495	2	278.1301	1239.65	1.518928
2	-496395.90625	2727495	2	321.1552	1239.117	10.27931
2	-495395.90625	2727495	2	235.5392	1238.36	4.421218
2	-494395.90625	2727495	2	-1	1237.375	 0.0
2	-493395.90625	2727495	2	164.6899	1236.164	42.41718
2	-492395.90625	2727495	2	172.8835	1234.73	46.10282
2	-491395.90625	2727495	2	139.8474	1233.078	45.11858
1	-490395.90625	2727495	1	127.4409	1231.216	20.61975
1	-489395.90625	2727495	1	56.88866	1229.154	1.965839
1	-488395.90625	2727495	1	45	1226.902	 0.0
4	-487395.90625	2727495	4	-1	1224.475	 0.0
4	-486395.90625	2727495	4	-1	1221.886	 0.0
3	-473395.90625	2727495	3	164.0546	1181.631	14.295
3	-472395.90625	2727495	3	209.0546	1178.69	0.7373295
2	-471395.90625	2727495	2	135.7848	1175.859	14.47318
2	-470395.90625	2727495	2	190.2382	1173.155	16.08445
2	-469395.90625	2727495	2	239.0362	1170.589	1.669972
2	-468395.90625	2727495	2	311.8519	1168.174	19.49843
2	-498395.90625	2726495	2	234.4273	1240.795	25.40172
2	-497395.90625	2726495	2	329.3814	1240.491	4.071059
2	-496395.90625	2726495	2	258.3263	1239.965	8.779654
2	-495395.90625	2726495	2	108.1175	1239.212	 0.0
2	-494395.90625	2726495	2	161.426	1238.228	18.04123
2	-493395.90625	2726495	2	154.2734	1237.016	29.81503
2	-492395.90625	2726495	2	177.8331	1235.578	13.02977
2	-491395.90625	2726495	2	99.19102	1233.919	25.51883
1	-490395.90625	2726495	1	121.1664	1232.049	31.22639
5	-489395.90625	2726495	5	53.32565	1229.976	4.189458
1	-488395.90625	2726495	1	71.56505	1227.712	 0.0
1	-487395.90625	2726495	1	-1	1225.27	 0.0
4	-486395.90625	2726495	4	-1	1222.664	 0.0
4	-485395.90625	2726495	4	-1	1219.911	 0.0
3	-475395.90625	2726495	3	228.4682	1188.323	9.944592
3	-474395.90625	2726495	3	135	1185.185	0.1012855
2	-473395.90625	2726495	2	164.5388	1182.128	10.36305
2	-472395.90625	2726495	2	158.5523	1179.167	4.301007
2	-471395.90625	2726495	2	-1	1176.318	 0.0
2	-470395.90625	2726495	2	-1	1173.597	 0.0
2	-469395.90625	2726495	2	234.6538	1171.017	19.18141
2	-468395.90625	2726495	2	293.1986	1168.59	6.517024
1	-499395.90625	2725495	1	276.9003	1241.788	11.18217
1	-498395.90625	2725495	1	263.264	1241.706	9.082089
2	-497395.90625	2725495	2	-1	1241.406	 0.0
1	-496395.90625	2725495	1	214.0243	1240.881	16.54754
3	-495395.90625	2725495	3	36.29778	1240.126	9.940629
2	-494395.90625	2725495	2	127.714	1239.139	21.32032
2	-493395.90625	2725495	2	359.8121	1237.921	15.95453
2	-492395.90625	2725495	2	47.44242	1236.475	20.47251
2	-491395.90625	2725495	2	101.8887	1234.807	23.59912
3	-490395.90625	2725495	3	16.47688	1232.924	10.48683
1	-489395.90625	2725495	1	80.16644	1230.837	5.435211
1	-488395.90625	2725495	1	45	1228.557	0.1012855
1	-487395.90625	2725495	1	45	1226.097	 0.0
4	-486395.90625	2725495	4	-1	1223.472	 0.0
4	-485395.90625	2725495	4	-1	1220.698	 0.0
4	-484395.90625	2725495	4	-1	1217.792	 0.0
4	-483395.90625	2725495	4	-1	1214.773	 0.0
2	-474395.90625	2725495	2	91.16914	1185.701	6.985377
3	-473395.90625	2725495	3	-1	1182.62	 0.0
2	-472395.90625	2725495	2	265.0063	1179.637	14.49267
2	-471395.90625	2725495	2	250.796	1176.768	10.90825
2	-470395.90625	2725495	2	290.7387	1174.027	7.838655
2	-469395.90625	2725495	2	290.6299	1171.429	12.79268
2	-499395.90625	2724495	2	48.36646	1242.768	1.724311
1	-498395.90625	2724495	1	237.9946	1242.686	1.351068
2	-497395.90625	2724495	2	240.6312	1242.385	19.50831
3	-496395.90625	2724495	3	271.8476	1241.856	2.220254
3	-495395.90625	2724495	3	207.4076	1241.096	4.348092
2	-494395.90625	2724495	2	302.8874	1240.101	 0.0
2	-493395.90625	2724495	2	122.2176	1238.873	37.89024
2	-492395.90625	2724495	2	15.9454	1237.415	30.2169
2	-491395.90625	2724495	2	55.24128	1235.733	23.14865
3	-490395.90625	2724495	3	72.79703	1233.835	20.18846
3	-489395.90625	2724495	3	39.88269	1231.73	6.781446
5	-488395.90625	2724495	5	84.36932	1229.43	5.096173
5	-487395.90625	2724495	5	-1	1226.949	 0.0
4	-486395.90625	2724495	4	-1	1224.302	 0.0
4	-485395.90625	2724495	4	-1	1221.505	 0.0
4	-484395.90625	2724495	4	-1	1218.574	 0.0
4	-483395.90625	2724495	4	-1	1215.529	 0.0
2	-474395.90625	2724495	2	76.2184	1186.213	3.902319
3	-473395.90625	2724495	3	101.4373	1183.106	6.414856
3	-472395.90625	2724495	3	338.6756	1180.098	26.6502
3	-471395.90625	2724495	3	39.09386	1177.205	8.701723
2	-470395.90625	2724495	2	242.6501	1174.442	2.337062
2	-469395.90625	2724495	2			
2	-500395.90625	2723495	2	164.0773	1243.689	22.94051
2	-499395.90625	2723495	2	18.72953	1243.812	17.09452
2	-498395.90625	2723495	2	-1	1243.725	 0.0
1	-497395.90625	2723495	1	276.6135	1243.418	19.15268
2	-496395.90625	2723495	2	-1	1242.881	 0.0
3	-495395.90625	2723495	3	287.6844	1242.111	 0.0
2	-494395.90625	2723495	2	225	1241.104	 0.0
2	-493395.90625	2723495	2	110.2036	1239.863	14.96067
2	-492395.90625	2723495	2	74.74488	1238.389	13.61958
2	-491395.90625	2723495	2	29.63154	1236.69	32.08758
3	-490395.90625	2723495	3	76.93068	1234.772	16.03707
3	-489395.90625	2723495	3	89.06844	1232.647	17.09479
1	-488395.90625	2723495	1	90.78483	1230.325	5.214287
1	-487395.90625	2723495	1	71.56505	1227.821	 0.0
1	-486395.90625	2723495	1	-1	1225.149	 0.0
4	-485395.90625	2723495	4	-1	1222.326	 0.0
4	-484395.90625	2723495	4	-1	1219.369	 0.0
4	-483395.90625	2723495	4	-1	1216.296	 0.0
4	-482395.90625	2723495	4	-1	1213.127	 0.0
3	-474395.90625	2723495	3	95.19443	1186.718	1.042684
3	-473395.90625	2723495	3	76.1757	1183.583	8.67539
2	-472395.90625	2723495	2	234.3721	1180.549	10.45592
3	-471395.90625	2723495	3	310.7636	1177.63	2.740112
2	-470395.90625	2723495	2	8.024065	1174.842	29.8175
3	-500395.90625	2722495	3	-1	1244.793	 0.0
2	-499395.90625	2722495	2	5.557232	1244.908	24.92354
2	-498395.90625	2722495	2	42.92282	1244.812	18.85008
2	-497395.90625	2722495	2	201.4346	1244.494	10.18565
3	-496395.90625	2722495	3	264.8827	1243.945	23.85957
3	-495395.90625	2722495	3	107.9494	1243.161	 0.0
2	-494395.90625	2722495	2	193.2802	1242.138	4.576145
2	-493395.90625	2722495	2	85.84872	1240.879	 0.0
2	-492395.90625	2722495	2	134.2043	1239.387	14.28312
2	-491395.90625	2722495	2	123.1201	1237.667	30.64752
2	-490395.90625	2722495	2	112.3609	1235.728	22.00554
3	-489395.90625	2722495	3	21.80141	1233.579	19.29187
1	-488395.90625	2722495	1	134.3704	1231.233	9.139236
1	-487395.90625	2722495	1	-1	1228.703	 0.0
1	-486395.90625	2722495	1	-1	1226.004	 0.0
4	-485395.90625	2722495	4	-1	1223.153	 0.0
5	-484395.90625	2722495	5	-1	1220.168	 0.0
4	-483395.90625	2722495	4	-1	1217.066	 0.0
4	-482395.90625	2722495	4	-1	1213.867	 0.0
4	-481395.90625	2722495	4	-1	1210.591	 0.0
3	-474395.90625	2722495	3	114.3734	1187.214	6.223181
2	-473395.90625	2722495	2	281.3099	1184.05	1.460445
2	-472395.90625	2722495	2	331.9617	1180.987	20.28595
2	-471395.90625	2722495	2			
2	-470395.90625	2722495	2			
2	-499395.90625	2721495	2	94.11819	1246.042	8.90328
3	-498395.90625	2721495	3	345.8219	1245.933	13.76423
2	-497395.90625	2721495	2	72.5973	1245.6	9.955979
1	-496395.90625	2721495	1	224.5818	1245.034	25.84467
3	-495395.90625	2721495	3	260.151	1244.232	1.620137
2	-494395.90625	2721495	2	58.86103	1243.19	 0.0
2	-493395.90625	2721495	2	66.22366	1241.911	21.33842
2	-492395.90625	2721495	2	163.4429	1240.396	18.66263
3	-491395.90625	2721495	3	68.80595	1238.653	18.18365
3	-490395.90625	2721495	3	153.8861	1236.69	15.85399
3	-489395.90625	2721495	3	91.28445	1234.516	15.57954
1	-488395.90625	2721495	1	90	1232.143	7.125016
1	-487395.90625	2721495	1	-1	1229.585	 0.0
1	-486395.90625	2721495	1	45	1226.859	 0.0
1	-485395.90625	2721495	1	-1	1223.979	 0.0
1	-484395.90625	2721495	1	-1	1220.963	 0.0
4	-483395.90625	2721495	4	-1	1217.831	 0.0
4	-482395.90625	2721495	4	-1	1214.602	 0.0
4	-481395.90625	2721495	4	-1	1211.295	 0.0
4	-480395.90625	2721495	4	-1	1207.931	 0.0
3	-477395.90625	2721495	3	180	1197.703	7.547726
1	-476395.90625	2721495	1	248.1986	1194.317	16.49845
1	-475395.90625	2721495	1	243.869	1190.975	8.395378
3	-474395.90625	2721495	3	179.4437	1187.698	7.336813
3	-473395.90625	2721495	3	334.9424	1184.504	11.9969
3	-472395.90625	2721495	3	317.2457	1181.411	24.28142
3	-471395.90625	2721495	3			
2	-499395.90625	2720495	2	184.3987	1247.198	13.73765
3	-498395.90625	2720495	3	115.7365	1247.071	28.42159
2	-497395.90625	2720495	2	39.19327	1246.719	22.75048
2	-496395.90625	2720495	2	53.74616	1246.134	1.331964
2	-495395.90625	2720495	2	220.9144	1245.31	16.58045
2	-494395.90625	2720495	2	125.7098	1244.246	30.12955
2	-493395.90625	2720495	2	108.2263	1242.943	33.08157
2	-492395.90625	2720495	2	145.5793	1241.405	24.80507
2	-491395.90625	2720495	2	120.1622	1239.636	37.46096
3	-490395.90625	2720495	3	142.2921	1237.646	36.94611
3	-489395.90625	2720495	3	127.213	1235.445	22.6609
1	-488395.90625	2720495	1	-1	1233.045	 0.0
1	-487395.90625	2720495	1	90	1230.459	0.2864765
1	-486395.90625	2720495	1	-1	1227.703	 0.0
1	-485395.90625	2720495	1	-1	1224.793	 0.0
4	-484395.90625	2720495	4	292.6199	1221.747	 0.0
